Code,Label
dje,Djerma-Songhai
doi,Dogras
dgr,Dogrib
dom,Dominicans
don,Dong
dox,Dongxiang
dra,Dravidian
drz,Druze
dru,Druze
dua,Duala
dut,Dutch
dyu,Dyula
ein,East Indian
eat,East Timorese
ecu,Ecuadorians
bin,Edo
efi,Efik
eka,Ekajuk
eng,English
cpe,English-Creole
esh,Eshira
est,Estonian
eth,Ethiopian-Jews
eur,Europeans
eve,Evenks
ewe,Ewe
ewo,Ewondo
fan,Fang
fat,Fante
fao,Faroese
fij,Fijian
fil,Filipino
fiu,Finno-Ugric
fin,Finns
fon,Fon
fre,French
cpf,French-Creole
frr,Frisians
fur,Friulan
ful,Fula
fru,Fur
ada,Ga
gla,Gaels
glg,Galician
gar,Garifuna
gay,Gayo
gba,Gbaya
bay,Gbaya
gel,Gelao
geo,Georgian
ger,German
gia,Gia Rai
gin,Gin
gio,Gio
gon,Gondi
gor,Gorontalonese
gra,Grassfielders
grb,Grebo
gre,Greek
gun,Guan
grn,Guarani
gua,Guatemalan
guj,Gujarati
gwi,Gwich'in
had,Hadjerai
hai,Haida
hat,Haitian
hni,Hani
har,Harari
hrt,Haratin
hjw,Hasidic
hau,Hausa
haw,Hawaiian
haz,Hazara
her,Herero
hil,Hiligayon
hgh,Hill Tribes
him,Himachali
hin,Hindu
hmo,Hiri Motu
hmn,Hmong
hoa,Hoa
hon,Hondurans
hui,Hui
hun,Hungarian
hup,Hupa
hut,Hutu
iba,Iban
ice,Icelanders
ibo,Igbo
ijo,Ijaw
ilo,Ilocono
idn,Indian
idg,Indigenous
ind,Indonesian
inh,Ingush
iku,Inuit
ipk,Inupiat
ira,Iranian
gle,Irish
iro,Iroquois
ita,Itallian
jan,Jain
jpn,Japanese
jav,Javanese
jhw,Jehovah's Witnesses
jew,Jewish
jin,Jino
jol,Jola
kbd,Kabarday
kby,Kabye
kab,Kabyle
kac,Kachin
kad,Kadazan
kak,Kakwa-Nubian
kal,Kalaallit
car,Kali'na
klm,Kalmyk
xal,Kalmyk
kam,Kamba
kan,Kannada
knr,Kanuri
kau,Kanuri
kao,Kaonde
pam,Kapampangan
kch,Karachays
kaa,Karakalpak
krm,Karamojong
krl,Karelians
kar,Karen
kas,Kashmiri
csb,Kashubian
kav,Kavango
kaz,Kazakhs
khk,Khakas
kha,Khasi
khm,Khmer
khu,Khmu
khi,Khoikhoi
kik,Kikuyu
kin,Kinyarwanda Speakers
gil,Kiribati
kis,Kisii
kok,Kokani
kom,Komi
kon,Kongo
kno,Kono
kor,Korean
kos,Kosraean
kou,Kouyou
kpe,Kpelle
krh,Krahn
kro,Kru
kut,Ktunaxa
kum,Kumyks
KUR,Kurd
kur,Kurd
brm,Kurichiya
kru,Kurukh
kua,Kwanyama
kir,Kyrgyz
lhu,Lahu
lak,Lak (Russia)
lam,Lamba
lao,Lao
lar,Lari
ltn,Latinos
ltk,Latoka
lds,Latter Day Saints
lav,Latvian
del,Lenape
len,Lenca
lez,Lezgian
lii,Li
lba,Limba
lim,Limburgian
lin,Lingala
lsu,Lisu
lit,Lithuanian
lom,Lomwe
lov,Lovale
dsb,Lower Sorbian
loz,Lozi
lua,Luba-Kasai
lub,Luba-Katanga
lgb,Lugbara
luh,Luhya
lui,Luiseno
lul,Lulua
mno,Lumad
lun,Lunda
luo,Luo
lus,Lusei
ltz,Luxembourgers
mbk,M'Baka
mas,Maasai
mac,Macedonian
mdh,Madhesi
mdi,Madi
mad,Madurese
maf,Mafwe
mag,Magahi
mai,Maithili
mak,Makassarese
mok,Makonde
mlg,Malagasy
mal,Malayalam
may,Malays
div,Maldivian
mlt,Maltese
mng,Mananja-Nayanja
mnc,Manchu
mdr,Mandar
mnd,Mande
man,Mandinka
mni,Manipuri
mnj,Manjack
mnn,Mano
glv,Manx
mny,Manyika
mon,Maonan
mao,Maori
arn,Mapuche
mar,Marathi
mri,Mari
chm,Mari
mrn,Maronites
mah,Marshallese
mwr,Marwaris
myn,Maya
mya,Mayangnas
mba,Mbandja
mbe,Mbere
mbo,Mbochi
mbu,Mbundu-Mestico
men,Mende
mtz,Mestizo
mic,Mi'kmaq
mia,Miao
mij,Mijikenda
mnh,Minahasa
min,Minangkabau
mwl,Mirandese
msk,Miskito
miz,Mizo
moh,Mohajirs
moh,Mohawk
mdf,Mokshas
mld,Mole-Dagbani
mns,Mon
lol,Mongo
mon,Mongol
tuu,Mongour
mtn,Montenegrins
myv,Mordvins
mro,Moro
mos,Mossi
mlo,Mulao
mla,Mulatto
mun,Munda
muo,Muong
mus,Muscogee
msl,Muslim
mye,Myene
nag,Naga
nah,Nahua
nax,Nakhi
nam,Nama
nai,Native American
nau,Nauruan
nav,Navajo
ndo,Ndonga
nap,Neapolitan
nep,Nepali
nze,New Zealanders
new,Newars
dzo,Ngalop
ngn,Ngbandi
ngo,Ngoni
nir,Niari
nia,Niasans
nib,Nibolek
nca,Nicaraguan
niu,Niuean
nkm,Nkomi
nog,Nogais
kmb,North Mbundu
nde,Northern Ndebele
nso,Northern Sotho
nor,Norwegians
nuu,Nu
nba,Nuba
nub,Nubian
ner,Nuer
nng,Nung
nur,Nuristani
nyk,Nyakyusa
nym,Nyamwezi
nyo,Nyoro
nzi,Nzema
oci,Occitanians
ogo,Ogoni
oji,Ojibwe
oki,Okinawan
oru,Orgunu
ori,Oriya
orm,Oromo
cro,Orthodox Christian
ojw,Orthodox/Ultra-Orthodox Jew
osa,Osage
oss,Ossetians
oto,Otomi
ova,Ovambo
pac,Pacific Islanders
ran,Pahari Rajput
pau,Palauan
pal,Palestinian
PAL,Palestinian
pnm,Panamanians
pag,Pangasinan
ppl,Papel
pap,Papiamento-Creole
paa,Papuan
par,Paraguayan
psh,Pashayi
pus,Pashtun
pon,Pehnpeian
per,Persian
pru,Peruvian
pol,Poles
pom,Pomaks
por,Portuguese
cpp,Portuguese-Creole
pro,Protestant
pum,Pumi
pan,Punjabi
phu,Puthai
qia,Qiang
qiz,Qizilbash
que,Quechua
raj,Rajasthani
bda,Rakhine
rap,Rapa Nui
rom,Romani
rum,Romanian
roh,Romansh
run,Rundi
rus,Russian
slr,Salar
sal,Salish
smi,Sami
smo,Samoans
sad,Sandawe
sag,Sango
fri,Santals
sar,Sara
srd,Sardinian
sas,Sasak
sco,Scottish
sel,Selkup
sen,Sena
lad,Sephardic Jew
srp,Serbs
srr,Serer
sha,Shafi'i
shy,Shaigiya
shn,Shan
she,She
shi,Shi'ites
shl,Shilluk
sna,Shona
scn,Sicilian
sid,Sidama
bla,Siksikawa
snd,Sindhi
sin,Sinhalese
sio,Siouan
dak,Sioux
den,Slavey
sla,Slavic
slo,Slovaks
slv,Slovenes
som,Somali
son,Songhai
snk,Soninke
wen,Sorbs
sot,Sotho
nbl,South Ndebele
umb,Southern Mbundu
spa,Spanish
srn,Sranan Tongo
bsu,Subiya
sat,Sudanese
sfi,Sufi
sui,Sui
suk,Sukama
sun,Sunni
sus,Susu
swa,Swahili
ssw,Swazi
swe,Swedes
swf,Swiss French
gsw,Swiss Germans
swt,Swiss Italian
tab,Tabasaran
tgl,Tagalog
tah,Tahitian
tai,Tai
twn,Taiwanese
tgk,Tajik
tms,Tama
tam,Tamil
tao,Taoist
tat,Tatars
taw,Tawahka
tay,Tay
tel,Telugu
tem,Temne
ter,Terenan
trn,Ternate
tes,Teso
tet,Tetum
tha,Thai
tib,Tibetan
tir,Tigray-Tigrinya
tig,Tigre
tiv,Tiv
tli,Tlingit
tpi,Tok Pisin
tkl,Tokelauan
tog,Tonga (Africa)
ton,Tonga (Pacific)
tor,Tooro
tou,Toubou
tra,Transnistrians
tri,Tripuri
tsi,Tsimshian
tso,Tsonga
tsn,Tswana
tmh,Tuareg
tuj,Tujia
tum,Tumbuka
tup,Tupi
tur,Turkish
tuk,Turkmen
tts,Tutsi
tvl,Tuvaluans
tyv,Tuvans
udm,Udmurt
ukr,Ukranian
und,Undetermined
rel,Unspecified Religion
hsb,Upper Sorbian
bis,Urban ni-Vanautu
urd,Urdu
uig,Uyghur
uzb,Uzbeks
vaa,Va
vai,Vai
ven,Venda
vnz,Venezuelan
vie,Vietnamese
vil,Vili
vot,Votes
wak,Wakashan
wln,Walloons
war,Waray
was,Washoe
wal,Welayta
wel,Welsh
whi,Whites
wol,Wolof
xho,Xhosa
xib,Xibe
xnc,Xinca
sah,Yakuts
yao,Yao
dao,Yao (Asia)
yap,Yapese
iii,Yi
yor,Yoruba
yug,Yugur
ypk,Yupik
zag,Zaghawa
zay,Zaidiyya
zap,Zapotec
zza,Zaza
zen,Zenaga
zha,Zhuang
zom,Zomi
zor,Zoroastrians
zul,Zulu
zun,Zuni
