theme,cnt
AGRICULTURE,62019017
TAX_FNCACT_STUDENTS,61718248
WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,60251742
WB_2167_PANDEMICS,60251742
TAX_ETHNICITY_AMERICAN,59975014
TAX_ETHNICITY_BLACK,59508129
TAX_FNCACT_EMPLOYEES,58783176
TAX_WORLDLANGUAGES_RUSSIA,58718949
WB_1467_EDUCATION_FOR_ALL,58552258
WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,57703781
ECON_STOCKMARKET,57019649
TAX_FNCACT_WORKERS,56811237
TAX_FNCACT_DEPUTY,56145452
WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET,55956340
TAX_FNCACT_CRIMINAL,55551466
WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS,53455783
TAX_FNCACT_OFFICER,53451584
TAX_FNCACT_PRIME_MINISTER,53424799
TAX_FNCACT_MANAGER,53304620
TAX_FNCACT_LEADERS,52942655
ECON_WORLDCURRENCIES,52497589
ECON_TAXATION,52277111
EPU_CATS_TAXES,52210075
WB_2462_POLITICAL_VIOLENCE_AND_WAR,52167748
TAX_FOODSTAPLES,51904444
WB_695_POVERTY,51822173
CORRUPTION,50596872
WB_2453_ORGANIZED_CRIME,50438937
PUBLIC_TRANSPORT,49880172
WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,49709825
WB_2495_DETENTION_PRISON_AND_CORRECTIONS_REFORM,49436860
TAX_WORLDLANGUAGES_RUSSIAN,49180856
TAX_ETHNICITY_RUSSIAN,49111449
BAN,48693496
WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,47639397
WB_2456_DRUGS_AND_NARCOTICS,46781903
TAX_FNCACT_MAYOR,46450258
WB_346_COMPETITIVE_INDUSTRIES,45876070
DEMOCRACY,44914410
EPU_POLICY_TAX,44671633
TAX_FNCACT_OFFICERS,44198590
IDEOLOGY,43892967
TAX_FNCACT_FATHER,43347433
TAX_FNCACT_REPORTER,43141649
URBAN,42563367
TAX_MILITARY_TITLE_OFFICER,42451541
WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS,42129502
CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE,42092838
TAX_FNCACT_REPRESENTATIVES,41816346
ENV_OIL,41787258
TAX_FNCACT_AUTHOR,41532563
TOURISM,41486528
TAX_FNCACT_JUDGE,41462453
WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,41453035
CONSTITUTIONAL,41150826
TAX_FNCACT_REPRESENTATIVE,41129027
TAX_WORLDFISH,40659717
WB_1428_INJURY,40419874
WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE,39455659
CRISISLEX_O01_WEATHER,38949859
BORDER,38607054
ALLIANCE,38465999
TAX_FNCACT_GOVERNOR,38090074
GEN_HOLIDAY,38033603
TAX_ETHNICITY_GERMAN,37975365
TAX_WORLDLANGUAGES_GERMAN,37972198
TAX_FNCACT_VICTIM,37831981
TRAFFIC,37767048
APPOINTMENT,37711971
HEALTH_PANDEMIC,37629199
WB_855_LABOR_MARKETS,37489252
TAX_ETHNICITY_CHINESE,37399528
WB_2471_PEACEKEEPING,37393111
TAX_WORLDLANGUAGES_CHINESE,37374343
NEGOTIATIONS,37274704
TAX_FNCACT_VICTIMS,37243052
WB_1967_AGRICULTURAL_RISK_AND_SECURITY,37150005
SOC_POINTSOFINTEREST_PRISON,37091155
UNREST_BELLIGERENT,37009590
SOC_INNOVATION,36388421
WB_1466_SOCIAL_ASSISTANCE,36171760
WB_2203_HUMAN_RIGHTS,36103705
TAX_FNCACT_CANDIDATE,35927919
EPU_POLICY_BUDGET,35785773
WB_2936_GOLD,35763441
TAX_FNCACT_SPOKESMAN,35199015
WB_845_LEGAL_AND_REGULATORY_FRAMEWORK,35143370
MARITIME_INCIDENT,35053047
WB_2769_JOBS_STRATEGIES,34959430
WB_843_DISPUTE_RESOLUTION,34036940
WB_936_ALTERNATIVE_DISPUTE_RESOLUTION,33896651
TAX_FNCACT_DRIVER,33840664
TAX_FNCACT_KING,33795157
WB_2473_DIPLOMACY_AND_NEGOTIATIONS,33790821
SOC_POINTSOFINTEREST_COLLEGE,33779593
DISCRIMINATION,33328331
EPU_CATS_MIGRATION_FEAR_MIGRATION,33069198
TAX_TERROR_GROUP,32791946
TAX_ETHNICITY_FRENCH,32693926
TAX_WORLDLANGUAGES_FRENCH,32676502
WB_1973_FINANCIAL_RISK_REDUCTION,32408741
WB_337_INSURANCE,32394167
SOC_POINTSOFINTEREST_SCHOOLS,32114624
TAX_FNCACT_ATTORNEY,31858899
WB_590_ECOSYSTEMS,31813495
TAX_FNCACT_DOCTOR,31170723
WB_2445_NON_STATE_SECURITY_ACTORS,31102634
WB_1979_NATURAL_RESOURCE_MANAGEMENT,31088804
TAX_POLITICAL_PARTY_REPUBLICAN,30572409
WB_2026_PREVENTION,30299272
WB_167_PORTS,30289620
WB_652_ICT_APPLICATIONS,30201489
WB_658_ENTERPRISE_APPLICATIONS,30191445
TAX_MILITARY_TITLE_OFFICERS,30170391
TAX_FNCACT_STUDENT,30137507
TAX_DISEASE_DISEASE,29952094
RELIGION,29749766
TAX_ETHNICITY_ENGLISH,29730812
TAX_WORLDLANGUAGES_ENGLISH,29725060
EXTREMISM,29644922
WB_1804_AIRPORTS,29633533
WB_2748_EMPLOYMENT,29415761
CRISISLEX_T04_INFRASTRUCTURE,29211710
EPU_POLICY_CONGRESS,29022200
WB_667_ICT_INFRASTRUCTURE,29009320
WB_939_NEGOTIATION,28525065
WB_134_SOCIAL_DEVELOPMENT,28273388
TAX_FNCACT_LAWYER,28222119
TAX_FNCACT_PROFESSOR,28045548
TAX_FNCACT_PROSECUTOR,28002952
WB_1462_WATER_SANITATION_AND_HYGIENE,27959801
WB_450_DEBT,27812305
WB_2690_CATEGORIES_OF_EMPLOYMENT,27395774
WB_2836_MIGRATION_POLICIES_AND_JOBS,27362129
SOC_POINTSOFINTEREST_AIRPORT,27258883
SELF_IDENTIFIED_HUMAN_RIGHTS,27173340
UNGP_FREEDOM_FROM_DISCRIMINATION,27098442
CRISISLEX_C06_WATER_SANITATION,26936162
DRUG_TRADE,26811851
RURAL,26768360
WB_1986_MOUNTAINS,26724198
EPU_POLICY_REFORM,26712691
WB_662_SOCIAL_MEDIA,26248313
ECON_ENTREPRENEURSHIP,26139094
TAX_FNCACT_TEACHER,25994509
TAX_FNCACT_CANDIDATES,25967447
UNGP_POLITICAL_FREEDOMS,25733410
TAX_FNCACT_CEO,25381128
TAX_FNCACT_MINISTERS,25296189
TAX_RELIGION_CHURCH,25111380
EPU_CATS_HEALTHCARE,25094359
WB_471_ECONOMIC_GROWTH,25031598
WB_1609_FOOD_AND_IN_KIND_TRANSFERS,25006120
ECON_DEBT,24960070
WB_1777_FORESTS,24934331
REFUGEES,24880870
TAX_WORLDMAMMALS_BEAR,24660992
TAX_FNCACT_CITIZEN,24224377
TAX_FNCACT_ACTOR,24190116
SOC_POINTSOFINTEREST_HEADQUARTERS,23725310
TAX_FNCACT_ARTIST,23351819
TAX_FNCACT_SINGER,23316143
TAX_FNCACT_GUARD,23235075
WB_644_NUTRITION,23191333
TAX_ETHNICITY_AMERICANS,23132215
CRISISLEX_O02_RESPONSEAGENCIESATCRISIS,23126029
TAX_FNCACT_ASSISTANT,22973714
TAX_DISEASE_CORONAVIRUS,22897037
ECON_HOUSING_PRICES,22861731
WB_825_TOURISM,22657856
TAX_FNCACT_JOURNALIST,22505463
HEALTH_VACCINATION,22354290
TAX_FNCACT_DOCTORS,22336086
WB_1497_EDUCATION_MANAGEMENT_AND_ADMINISTRATION,22083036
TAX_FNCACT_SUPPORTERS,22057325
DISASTER_FIRE,22039340
RETIREMENT,21888613
TAX_FNCACT_POLITICIANS,21847956
IMMIGRATION,21779187
RESIGNATION,21683412
WB_168_ROADS_AND_HIGHWAYS,21668612
EPU_POLICY_LEGISLATION,21660996
WB_2467_TERRORISM,21656798
WB_328_FINANCIAL_INTEGRITY,21524278
TRANSPARENCY,21506200
WB_1809_HIGHWAYS,21443574
TAX_FNCACT_SOLDIERS,21301424
WB_1160_SHOCKS_AND_VULNERABILITY,21089783
TAX_FNCACT_TROOPS,21070030
TAX_ETHNICITY_ITALIAN,21005017
TAX_WORLDLANGUAGES_ITALIAN,21000641
WB_793_TRANSPORT_AND_LOGISTICS_SERVICES,20979630
DISABILITY,20964677
WB_1174_WAREHOUSING_AND_STORAGE,20690069
TAX_FNCACT_BABY,20686689
TAX_RELIGION_ISLAMIC,20640645
WB_2019_ANTI_CORRUPTION_LEGISLATION,20622844
UNGP_JOB_OPPORTUNITIES_EMPLOYMENT,20494474
TAX_FNCACT_SPOKESPERSON,20468360
POVERTY,20414772
WB_639_REPRODUCTIVE_MATERNAL_AND_CHILD_HEALTH,20400579
TAX_MILITARY_TITLE_SOLDIERS,20362750
WB_2020_BRIBERY_FRAUD_AND_COLLUSION,20296373
SOC_EXPRESSREGRET,20194644
TAX_WORLDLANGUAGES_UKRAINIAN,20179785
TAX_ETHNICITY_UKRAINIAN,20168691
WB_738_SOCIAL_COHESION,19977970
SOC_POINTSOFINTEREST_HIGH_SCHOOL,19939244
TAX_FNCACT_VICE_PRESIDENT,19898413
TAX_FNCACT_WRITER,19793076
TAX_FNCACT_COMMISSIONER,19643491
GOV_LOCALGOV,19599434
EPU_CATS_MONETARY_POLICY,19528243
TAX_FNCACT_GUIDE,19295551
WB_1431_CANCER,19200005
EPU_POLICY_WHITE_HOUSE,19149306
TAX_FNCACT_SPECIALIST,19134105
UNEMPLOYMENT,19103383
WB_1618_FOOD_DISTRIBUTION,19099986
EPU_POLICY_SPENDING,19010384
WB_1281_MANUFACTURING,19003062
TAX_DISEASE_CANCER,18981385
WB_1502_EDUCATIONAL_DECENTRALIZATION,18947380
TAX_FNCACT_EDITOR,18938388
TAX_FNCACT_BOSS,18866305
TAX_POLITICAL_PARTY_DEMOCRATS,18814931
SANCTIONS,18783109
WB_1620_ELDERLY,18778121
RAPE,18682420
TAX_FNCACT_FOUNDER,18599047
MANMADE_DISASTER,18587124
SOC_POINTSOFINTEREST_HOSPITALS,18565441
WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS,18490044
TAX_ETHNICITY_ARAB,18447707
WB_567_CLIMATE_CHANGE,18160207
WB_332_CAPITAL_MARKETS,18093999
WB_2937_SILVER,18016526
TAX_FNCACT_AGENTS,17904158
CRIME_ILLEGAL_DRUGS,17886000
WB_2082_LAW_ENFORCEMENT,17838144
CRIME_COMMON_ROBBERY,17579554
WB_642_CHILD_HEALTH,17493972
TAX_FNCACT_PROSECUTORS,17492839
TAX_FNCACT_EMPLOYEE,17425626
ECON_INFLATION,17129058
WB_1459_IMMUNIZATIONS,17074529
ENV_CLIMATECHANGE,16981689
WATER_SECURITY,16981336
WB_670_ICT_SECURITY,16973502
TAX_ETHNICITY_INDIAN,16966560
TAX_FNCACT_ANALYSTS,16937238
TAX_FNCACT_ANALYST,16930002
WB_672_NETWORK_MANAGEMENT,16857486
TAX_FNCACT_SPEAKER,16817145
TAX_FNCACT_AMBASSADOR,16808196
TAX_DISEASE_INFECTION,16748944
TAX_FNCACT_ACTRESS,16662857
WB_1464_HEALTH_OF_THE_DISABLED,16654087
WB_442_INFLATION,16651539
EPU_POLICY_REGULATION,16596784
WB_318_FINANCIAL_ARCHITECTURE_AND_BANKING,16542664
TAX_FNCACT_DRIVERS,16497568
WB_1039_PROPERTY_LAWS_AND_REGULATIONS,16482210
TAX_FNCACT_AGENT,16461179
TAX_FNCACT_FARMERS,16327506
TAX_AIDGROUPS,16314823
TAX_WEAPONS_GUN,16310454
RECRUITMENT,16308366
TAX_FNCACT_TOURISTS,16302978
TAX_FNCACT_COMMANDER,16208234
KIDNAP,16207959
SOC_POINTSOFINTEREST_JAIL,16186238
SEIZE,16162145
UNGP_CLIMATE_CHANGE_ACTION,16087918
TAX_ETHNICITY_SPANISH,15900076
TAX_WORLDLANGUAGES_SPANISH,15891179
WB_2465_REVOLUTIONARY_VIOLENCE,15787467
EPU_UNCERTAINTY,15783146
TAX_FNCACT_POLITICIAN,15735050
REBELLION,15643538
TAX_MILITARY_TITLE_COMMANDER,15582685
TAX_FNCACT_DIRECTORS,15549683
EVACUATION,15471095
ENV_MINING,15375974
WB_1654_ACTIVE_LABOR_MARKET_POLICIES,15367778
WB_2507_HUMAN_RIGHTS_ABUSES_AND_VIOLATIONS,15350867
WB_2704_EMPLOYER,15177367
TAX_FNCACT_ARTISTS,15123052
WB_699_URBAN_DEVELOPMENT,15116593
TAX_FNCACT_CHIEF_EXECUTIVE,15013013
WB_851_INTELLECTUAL_PROPERTY_RIGHTS,15012934
WB_856_WAGES,14995711
ECON_WORLDCURRENCIES_DOLLARS,14940113
WB_1234_BANKING_INSTITUTIONS,14873843
TAX_FNCACT_LAWYERS,14845142
TAX_FNCACT_PRODUCER,14810058
TAX_POLITICAL_PARTY_REPUBLICANS,14736026
SCANDAL,14631410
ECON_WORLDCURRENCIES_DOLLAR,14604909
WB_1441_SUPPLEMENTS,14567987
WB_615_GENDER,14439148
WB_2840_INTEGRATION,14322965
LGBT,14311085
TAX_WORLDMAMMALS_DOG,14193730
TAX_FNCACT_TOURIST,14156487
CRISISLEX_T09_DISPLACEDRELOCATEDEVACUATED,14089059
TAX_FNCACT_PILOT,14053264
SOC_USSECURITYAGENCIES,14023452
ORGANIZED_CRIME,13969925
TAX_ETHNICITY_CANADIAN,13769692
ECON_INTEREST_RATES,13769016
TAX_FNCACT_JUDGES,13743215
TAX_ETHNICITY_AUSTRALIAN,13730400
TAX_POLITICAL_PARTY_DEMOCRAT,13720003
TAX_FNCACT_SENATOR,13716601
WB_439_MACROECONOMIC_AND_STRUCTURAL_POLICIES,13679920
SOC_SUICIDE,13475143
TAX_DISEASE_EPIDEMIC,13437014
WB_1324_EMERGENCY_MEDICAL_SERVICES,13419186
NATURAL_DISASTER_ICE,13406020
INFO_RUMOR,13315312
TAX_FNCACT_WORKER,13298837
TAX_DISEASE_OUTBREAK,13298704
TAX_ETHNICITY_CHRISTIAN,13278342
TAX_RELIGION_CHRISTIAN,13261507
WB_164_MODES_OF_TRANSPORT,13246597
WB_2747_UNEMPLOYMENT,13231305
WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS,13204572
SHORTAGE,13184820
TAX_DISEASE_DISEASES,13161889
ECON_CENTRALBANK,13106359
WB_336_NON_BANK_FINANCIAL_INSTITUTIONS,13083675
TAX_FNCACT_PRINCIPAL,13069141
TAX_FNCACT_LAWMAKERS,13011363
TAX_FNCACT_ACTIVISTS,12994849
WB_1235_CENTRAL_BANKS,12881844
TAX_ETHNICITY_GREEK,12874628
TAX_WORLDLANGUAGES_GREEK,12872041
WB_2837_IMMIGRATION,12864425
WB_713_PUBLIC_FINANCE,12780190
TAX_FNCACT_LADY,12686847
ECON_UNIONS,12632999
TAX_FOODSTAPLES_MEAT,12593506
WB_2896_RETIREMENT,12545300
TAX_ETHNICITY_JAPANESE,12544049
TAX_WORLDLANGUAGES_JAPANESE,12541774
TAX_FNCACT_VOLUNTEERS,12489576
TAX_WORLDFISH_FISH,12377448
ECON_DEVELOPMENTORGS,12307779
WB_669_SOFTWARE_INFRASTRUCTURE,12232982
WB_166_RAILWAYS,12177863
TAX_WORLDBIRDS,12175540
TAX_WORLDLANGUAGES_LATIN,12166090
TAX_FNCACT_QUEEN,12076108
TAX_FNCACT_PRINCE,12066631
WB_1305_HEALTH_SERVICES_DELIVERY,12059720
SOC_POINTSOFINTEREST_UNIVERSITIES,12018512
WB_165_AIR_TRANSPORT,11918039
WB_2372_AUTHENTICATION_AND_AUTHORIZATION,11911446
TAX_FNCACT_MANUFACTURER,11910071
TAX_FNCACT_SHERIFF,11883067
WB_2931_IRON,11864872
HARASSMENT,11693087
WB_1949_CLIMATE_SMART_AGRICULTURE,11684148
TAX_FNCACT_COORDINATOR,11637638
TAX_FNCACT_SECRETARY_OF_STATE,11613087
TAX_FNCACT_CHANCELLOR,11593428
EPU_POLICY_LAWMAKERS,11534813
CYBER_ATTACK,11504243
STRIKE,11481643
TAX_FNCACT_MANAGERS,11480766
TAX_FNCACT_FOREIGN_MINISTER,11437486
TAX_WORLDINSECTS,11436127
TAX_ETHNICITY_TURKISH,11432342
TAX_WORLDLANGUAGES_TURKISH,11427561
ECON_CURRENCY_EXCHANGE_RATE,11391370
WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS,11385258
TAX_ETHNICITY_PALESTINIAN,11365638
SURVEILLANCE,11339981
TAX_WEAPONS_BOMB,11300226
TAX_ETHNICITY_MUSLIM,11277233
TAX_RELIGION_MUSLIM,11266475
ECON_OILPRICE,11229952
TAX_FNCACT_EXECUTIVE_DIRECTOR,11227982
TAX_FNCACT_OPERATOR,11219877
EPU_POLICY_REGULATORY,11177990
SEIGE,11135710
TAX_WORLDLANGUAGES_ARABIC,11032755
TAX_FNCACT_ADMINISTRATOR,11013427
WB_2142_LOCAL_GOVERNMENT,10982977
TAX_FNCACT_SPOKESWOMAN,10943799
ECON_WORLDCURRENCIES_EURO,10865152
WB_742_YOUTH_AND_GENDER_BASED_VIOLENCE,10838620
CRISISLEX_C05_NEED_OF_SHELTERS,10830592
HUMAN_RIGHTS_ABUSES,10798154
TAX_FNCACT_IMMIGRANTS,10757677
TAX_CHRONICDISEASE,10691876
WB_1199_WATER_SUPPLY_AND_SANITATION,10663886
TAX_FNCACT_INVESTOR,10652624
ACT_MAKESTATEMENT,10575947
DISCRIMINATION_RACE,10522159
TAX_ETHNICITY_POLE,10472636
WB_706_EVIDENCE_BASED_POLICY,10356581
SANITATION,10313941
TAX_ETHNICITY_ASIAN,10267574
EPU_POLICY_CENTRAL_BANK,10123402
CRISISLEX_T06_SUPPLIES,10054906
WB_962_INTERNATIONAL_LAW,10026510
SLFID_DICTATORSHIP,9965814
WB_1042_TRADEMARKS,9938272
EPU_CATS_ENTITLEMENT_PROGRAMS,9921563
EPU_CATS_FINANCIAL_REGULATION,9880419
TAX_WORLDMAMMALS_HUMANS,9867240
TAX_FNCACT_RESEARCHER,9812065
SOC_POINTSOFINTEREST_POLICE_STATION,9796329
WB_2943_SWITCHES,9794338
TAX_FNCACT_POLICE_OFFICER,9666684
RATIFY,9648917
WB_548_PPP_IN_OIL_AND_GAS,9632765
TAX_FNCACT_NAVY,9615381
TAX_FNCACT_ADVISER,9530005
WB_1078_DETERMINANTS_OF_GROWTH,9528128
TAX_FNCACT_HERO,9520041
TAX_FNCACT_CORRESPONDENT,9501294
SOVEREIGNTY,9461700
SOC_QUARANTINE,9408373
WB_1448_DEMOGRAPHIC_CHANGE,9378480
WB_1668_LABOR_STANDARDS,9371576
TAX_FOODSTAPLES_RICE,9352998
TAX_FNCACT_PUBLISHER,9325454
TAX_FNCACT_SECRETARY_GENERAL,9258061
TAX_RELIGION_ISLAM,9237887
TAX_ETHNICITY_KOREAN,9206200
TAX_WORLDLANGUAGES_KOREAN,9201731
WB_1948_SUBSIDIES,9191077
TAX_RELIGION_CATHOLIC,9181523
POLITICAL_TURMOIL,9159066
TAX_FNCACT_COMMUNIST,9156508
WB_2934_COPPER,9153192
WB_1045_TREASURY,9103849
WB_525_RENEWABLE_ENERGY,9081318
TAX_FNCACT_ACTIVIST,9074342
TAX_FNCACT_VETERAN,9070822
WB_1673_PASSIVE_LABOR_MARKETS_POLICIES,9060690
TAX_FNCACT_CONSULTANT,9046481
TAX_FNCACT_CHAMPION,9041982
TAX_FNCACT_EMPLOYERS,9037889
TAX_FNCACT_GENERAL_MANAGER,9037425
WB_2452_GANGS,9031801
TAX_FNCACT_CRIMINALS,9024382
WB_445_FISCAL_POLICY,9020998
TAX_WORLDMAMMALS_HORSE,8978350
ENV_SOLAR,8948641
TAX_WORLDMAMMALS_FOX,8940384
TAX_ETHNICITY_SOVIET,8898962
WB_2329_ACCESS_AND_CONNECTIVITY,8889952
TAX_FNCACT_ORGANIZERS,8833296
REBELS,8777156
FOOD_SECURITY,8749766
TAX_WORLDMAMMALS_DOGS,8743045
TAX_WORLDLANGUAGES_POLISH,8729571
NEW_CONSTRUCTION,8726447
WB_2120_SATELLITES,8687377
NATURAL_DISASTER_EARTHQUAKE,8643548
SOC_EMERGINGTECH,8632222
EPU_POLICY_DEFICIT,8610385
TAX_FNCACT_CAPTAIN,8580207
WB_1608_CASH_TRANSFERS,8575190
WB_612_HOUSING_FINANCE,8548712
TAX_FNCACT_EXECUTIVES,8523233
TAX_FNCACT_COOK,8513912
SELF_IDENTIFIED_ATROCITY,8510369
TAX_FNCACT_PRESIDENTS,8509888
TAX_RELIGION_MUSLIMS,8471897
TAX_ETHNICITY_MUSLIMS,8471585
WB_2945_DATABASE,8449705
TAX_FNCACT_ENGINEER,8386886
CLOSURE,8307314
TAX_FNCACT_SCIENTIST,8293845
TAX_FNCACT_FACULTY,8292521
TAX_MILITARY_TITLE_CAPTAIN,8259168
EPU_POLICY_INTEREST_RATES,8253210
TAX_FNCACT_BUSINESSMAN,8250307
TAX_DISEASE_FLU,8167951
WB_1603_FEE_WAIVERS,8156961
ETH_INDIGINOUS,8137957
WB_2468_CONVENTIONAL_WAR,8072810
NATURAL_DISASTER_FLOOD,8065599
SOC_SLAVERY,8044772
TAX_FNCACT_ECONOMIST,8041848
TAX_DISEASE_FEVER,8014162
WB_2089_ETHICS_AND_CODES_OF_CONDUCT,8012957
TAX_FNCACT_EMPLOYER,7999155
TAX_WORLDMAMMALS_SHEEP,7985929
TAX_WORLDLANGUAGES_CZECH,7857510
TAX_ETHNICITY_CZECH,7855415
TAX_TERROR_GROUP_ISLAMIC_STATE,7834507
TAX_FNCACT_SOLDIER,7828866
TAX_FNCACT_VOLUNTEER,7825470
WB_841_JUSTICE_SYSTEM_ADMINISTRATION,7768618
TAX_FOODSTAPLES_MILK,7750276
NATURAL_DISASTER_FLOODING,7725897
CEASEFIRE,7725281
WB_1415_COMMUNICABLE_DISEASE,7684011
TAX_FNCACT_TRADERS,7652980
WB_1430_MENTAL_HEALTH,7626853
TAX_FNCACT_VETERANS,7603426
TAX_WORLDMAMMALS_LION,7504359
TAX_MILITARY_TITLE_SOLDIER,7469546
TAX_FNCACT_ORGANIZER,7442952
TAX_FNCACT_DEVELOPER,7438539
WB_139_SANITATION_AND_WASTEWATER,7401551
TAX_FNCACT_MANAGING_DIRECTOR,7348937
TAX_FNCACT_EDITORS,7336721
TAX_FNCACT_SCHOLARS,7317012
RETALIATE,7298907
